Geography,Other Serious Crime,Financial Year,Count
WC,Commercial Crime,2018/2019,13451
WC,Commercial Crime,2019/2020,13599
WC,Commercial Crime,2020/2021,13294
WC,Shoplifting,2011/2012,16974
WC,Shoplifting,2012/2013,15828
WC,Shoplifting,2013/2014,14741
WC,Shoplifting,2014/2015,14421
WC,Shoplifting,2015/2016,13492
WC,Shoplifting,2016/2017,14557
WC,Shoplifting,2017/2018,13738
WC,Shoplifting,2018/2019,12931
WC,Shoplifting,2019/2020,13165
WC,Shoplifting,2020/2021,10378
ZA,All Theft Not Mentioned Elsewhere,2021/2022,249215
ZA,Commercial Crime,2021/2022,102057
ZA,Shoplifting,2021/2022,42549
EC,All Theft Not Mentioned Elsewhere,2021/2022,23395
EC,Commercial Crime,2021/2022,10140
EC,Shoplifting,2021/2022,3007
FS,All Theft Not Mentioned Elsewhere,2021/2022,15040
FS,Commercial Crime,2021/2022,4698
FS,Shoplifting,2021/2022,2137
GT,All Theft Not Mentioned Elsewhere,2021/2022,68983
GT,Commercial Crime,2021/2022,33783
GT,Shoplifting,2021/2022,13206
KZN,All Theft Not Mentioned Elsewhere,2021/2022,34876
KZN,Commercial Crime,2021/2022,16451
KZN,Shoplifting,2021/2022,6967
LIM,All Theft Not Mentioned Elsewhere,2021/2022,14679
LIM,Commercial Crime,2021/2022,5095
LIM,Shoplifting,2021/2022,2899
MP,All Theft Not Mentioned Elsewhere,2021/2022,13359
MP,Commercial Crime,2021/2022,5924
MP,Shoplifting,2021/2022,2631
NW,All Theft Not Mentioned Elsewhere,2021/2022,14054
NW,Commercial Crime,2021/2022,5885
NW,Shoplifting,2021/2022,1708
NC,All Theft Not Mentioned Elsewhere,2021/2022,7286
NC,Commercial Crime,2021/2022,1666
NC,Shoplifting,2021/2022,990
WC,All Theft Not Mentioned Elsewhere,2021/2022,57543
WC,Commercial Crime,2021/2022,18415
WC,Shoplifting,2021/2022,9004
ZA,All Theft Not Mentioned Elsewhere,2022/2023,276039
